sid,genus,data_source,relative_abundance
NSCLC_IMM_001_stool_baseline,Oscillospiraceae,Derosa_NSCLC,0.00531
NSCLC_IMM_001_stool_baseline,Parabacteroides,Derosa_NSCLC,3.09326
NSCLC_IMM_001_stool_baseline,Paraprevotella,Derosa_NSCLC,0.76214
NSCLC_IMM_001_stool_baseline,Peptococcaceae,Derosa_NSCLC,0.01436
NSCLC_IMM_001_stool_baseline,Phocaeicola,Derosa_NSCLC,5.1831
NSCLC_IMM_001_stool_baseline,Phocea,Derosa_NSCLC,0.01075
NSCLC_IMM_001_stool_baseline,Propionibacterium,Derosa_NSCLC,0.0107
NSCLC_IMM_001_stool_baseline,Pseudoruminococcus,Derosa_NSCLC,0.07384
NSCLC_IMM_001_stool_baseline,Roseburia,Derosa_NSCLC,0.53366
NSCLC_IMM_001_stool_baseline,Rothia,Derosa_NSCLC,0.00499
NSCLC_IMM_001_stool_baseline,Ruminococcaceae,Derosa_NSCLC,7.98455
NSCLC_IMM_001_stool_baseline,Ruminococcus,Derosa_NSCLC,1.2726
NSCLC_IMM_001_stool_baseline,Ruthenibacterium,Derosa_NSCLC,0.30616
NSCLC_IMM_001_stool_baseline,Senegalimassilia,Derosa_NSCLC,0.07421
NSCLC_IMM_001_stool_baseline,Slackia,Derosa_NSCLC,0.0722
NSCLC_IMM_001_stool_baseline,Streptococcus,Derosa_NSCLC,0.42564
NSCLC_IMM_001_stool_baseline,Sutterella,Derosa_NSCLC,1.32456
NSCLC_IMM_001_stool_baseline,Tyzzerella,Derosa_NSCLC,0.15391
NSCLC_IMM_001_stool_baseline,Veillonella,Derosa_NSCLC,0.0051
NSCLC_IMM_001_stool_baseline,Victivallis,Derosa_NSCLC,0.05833
NSCLC_IMM_008_stool_baseline,Akkermansia,Derosa_NSCLC,11.66747
NSCLC_IMM_008_stool_baseline,Alistipes,Derosa_NSCLC,0.73908
NSCLC_IMM_008_stool_baseline,Alloscardovia,Derosa_NSCLC,0.00239
NSCLC_IMM_008_stool_baseline,Anaeromassilibacillus,Derosa_NSCLC,0.1999
NSCLC_IMM_008_stool_baseline,Anaerostipes,Derosa_NSCLC,0.00919
NSCLC_IMM_008_stool_baseline,Anaerotruncus,Derosa_NSCLC,0.09401
NSCLC_IMM_008_stool_baseline,Bacteroides,Derosa_NSCLC,46.04507
NSCLC_IMM_008_stool_baseline,Bilophila,Derosa_NSCLC,1.18412
NSCLC_IMM_008_stool_baseline,Blautia,Derosa_NSCLC,7.48088
NSCLC_IMM_008_stool_baseline,Butyricimonas,Derosa_NSCLC,0.39013
NSCLC_IMM_008_stool_baseline,Candidatus,Derosa_NSCLC,0.01346
NSCLC_IMM_008_stool_baseline,Clostridia,Derosa_NSCLC,0.80025
NSCLC_IMM_008_stool_baseline,Clostridium,Derosa_NSCLC,1.02372
NSCLC_IMM_008_stool_baseline,Death,Derosa_NSCLC,1.0
NSCLC_IMM_008_stool_baseline,Dialister,Derosa_NSCLC,6.2362
NSCLC_IMM_008_stool_baseline,Eggerthella,Derosa_NSCLC,0.30992
NSCLC_IMM_008_stool_baseline,Eggerthellaceae,Derosa_NSCLC,0.03132
NSCLC_IMM_008_stool_baseline,Enorma,Derosa_NSCLC,1.22042
NSCLC_IMM_008_stool_baseline,Enterocloster,Derosa_NSCLC,4.77628
NSCLC_IMM_008_stool_baseline,Enterococcus,Derosa_NSCLC,0.07574
NSCLC_IMM_008_stool_baseline,Erysipelatoclostridium,Derosa_NSCLC,0.03315
NSCLC_IMM_008_stool_baseline,Escherichia,Derosa_NSCLC,0.70014
NSCLC_IMM_008_stool_baseline,Faecalicatena,Derosa_NSCLC,0.01591
NSCLC_IMM_008_stool_baseline,Flavonifractor,Derosa_NSCLC,0.38371
NSCLC_IMM_008_stool_baseline,Klebsiella,Derosa_NSCLC,0.14374
NSCLC_IMM_008_stool_baseline,Lachnospiraceae,Derosa_NSCLC,0.25197
NSCLC_IMM_008_stool_baseline,Lacticaseibacillus,Derosa_NSCLC,0.0023
NSCLC_IMM_008_stool_baseline,Lactobacillus,Derosa_NSCLC,0.10835
NSCLC_IMM_008_stool_baseline,Lancefieldella,Derosa_NSCLC,0.00063
NSCLC_IMM_008_stool_baseline,Mesosutterella,Derosa_NSCLC,1.20844
NSCLC_IMM_008_stool_baseline,OS,Derosa_NSCLC,6.311637
NSCLC_IMM_008_stool_baseline,Parabacteroides,Derosa_NSCLC,8.30591
NSCLC_IMM_008_stool_baseline,Ruminococcus,Derosa_NSCLC,1.1963
NSCLC_IMM_008_stool_baseline,Ruthenibacterium,Derosa_NSCLC,1.15303
NSCLC_IMM_008_stool_baseline,Scardovia,Derosa_NSCLC,0.03384
NSCLC_IMM_008_stool_baseline,Sellimonas,Derosa_NSCLC,0.22821
NSCLC_IMM_008_stool_baseline,Streptococcus,Derosa_NSCLC,0.09109
NSCLC_IMM_008_stool_baseline,Trueperella,Derosa_NSCLC,0.04631
NSCLC_IMM_008_stool_baseline,Veillonella,Derosa_NSCLC,0.00261
NSCLC_IMM_017_stool_baseline,Agathobaculum,Derosa_NSCLC,0.06809
NSCLC_IMM_017_stool_baseline,Alistipes,Derosa_NSCLC,61.01552
NSCLC_IMM_017_stool_baseline,Anaerostipes,Derosa_NSCLC,0.10604
NSCLC_IMM_017_stool_baseline,Bifidobacterium,Derosa_NSCLC,0.00107
NSCLC_IMM_017_stool_baseline,Blautia,Derosa_NSCLC,4.58053
NSCLC_IMM_017_stool_baseline,Clostridia,Derosa_NSCLC,3.19396
NSCLC_IMM_017_stool_baseline,Clostridiaceae,Derosa_NSCLC,1.33563
NSCLC_IMM_017_stool_baseline,Clostridiales,Derosa_NSCLC,0.79019
NSCLC_IMM_017_stool_baseline,Clostridium,Derosa_NSCLC,2.25079
NSCLC_IMM_017_stool_baseline,Coprobacillus,Derosa_NSCLC,0.19777
NSCLC_IMM_017_stool_baseline,Death,Derosa_NSCLC,1.0
NSCLC_IMM_017_stool_baseline,Dialister,Derosa_NSCLC,0.06301
NSCLC_IMM_017_stool_baseline,Dysosmobacter,Derosa_NSCLC,0.79448
NSCLC_IMM_017_stool_baseline,Eggerthella,Derosa_NSCLC,0.68063
NSCLC_IMM_017_stool_baseline,Eisenbergiella,Derosa_NSCLC,2.44543
NSCLC_IMM_017_stool_baseline,Enterocloster,Derosa_NSCLC,1.64324
NSCLC_IMM_017_stool_baseline,Erysipelatoclostridium,Derosa_NSCLC,0.4307
NSCLC_IMM_017_stool_baseline,Erysipelotrichaceae,Derosa_NSCLC,0.40395
NSCLC_IMM_017_stool_baseline,Escherichia,Derosa_NSCLC,1.16437
NSCLC_IMM_017_stool_baseline,Evtepia,Derosa_NSCLC,0.20018
NSCLC_IMM_017_stool_baseline,Faecalibacterium,Derosa_NSCLC,2.82759
NSCLC_IMM_017_stool_baseline,Faecalicatena,Derosa_NSCLC,0.0366
NSCLC_IMM_017_stool_baseline,Faecalimonas,Derosa_NSCLC,0.23732
NSCLC_IMM_017_stool_baseline,Flavonifractor,Derosa_NSCLC,2.76433
NSCLC_IMM_017_stool_baseline,Gordonibacter,Derosa_NSCLC,0.04768
NSCLC_IMM_017_stool_baseline,Haemophilus,Derosa_NSCLC,0.00755
NSCLC_IMM_017_stool_baseline,Hungatella,Derosa_NSCLC,1.62003
NSCLC_IMM_017_stool_baseline,Intestinibacillus,Derosa_NSCLC,0.00435
NSCLC_IMM_017_stool_baseline,Intestinibacter,Derosa_NSCLC,0.02559
NSCLC_IMM_017_stool_baseline,Lachnoclostridium,Derosa_NSCLC,0.01555
NSCLC_IMM_017_stool_baseline,Lachnospiraceae,Derosa_NSCLC,0.17961
NSCLC_IMM_017_stool_baseline,Lactonifactor,Derosa_NSCLC,0.01314
NSCLC_IMM_017_stool_baseline,Lancefieldella,Derosa_NSCLC,0.00528
NSCLC_IMM_017_stool_baseline,Massilimaliae,Derosa_NSCLC,0.00359
NSCLC_IMM_017_stool_baseline,Massilimicrobiota,Derosa_NSCLC,0.25494
NSCLC_IMM_017_stool_baseline,Mediterraneibacter,Derosa_NSCLC,0.14835
NSCLC_IMM_017_stool_baseline,Mogibacterium,Derosa_NSCLC,0.00019
NSCLC_IMM_017_stool_baseline,Neobittarella,Derosa_NSCLC,0.03093
NSCLC_IMM_017_stool_baseline,OS,Derosa_NSCLC,10.283368
NSCLC_IMM_017_stool_baseline,Prevotella,Derosa_NSCLC,0.00585
NSCLC_IMM_017_stool_baseline,Roseburia,Derosa_NSCLC,2.17375
NSCLC_IMM_017_stool_baseline,Ruminococcus,Derosa_NSCLC,0.3072
NSCLC_IMM_017_stool_baseline,Ruthenibacterium,Derosa_NSCLC,1.96914
NSCLC_IMM_017_stool_baseline,Sellimonas,Derosa_NSCLC,0.15863
NSCLC_IMM_017_stool_baseline,Streptococcus,Derosa_NSCLC,0.06538
NSCLC_IMM_017_stool_baseline,Tyzzerella,Derosa_NSCLC,2.97362
NSCLC_IMM_017_stool_baseline,Veillonella,Derosa_NSCLC,0.34629
NSCLC_IMM_021_stool_baseline,Adlercreutzia,Derosa_NSCLC,0.05947
NSCLC_IMM_021_stool_baseline,Agathobaculum,Derosa_NSCLC,0.02083
NSCLC_IMM_021_stool_baseline,Akkermansia,Derosa_NSCLC,0.37376
NSCLC_IMM_021_stool_baseline,Alistipes,Derosa_NSCLC,6.99318
NSCLC_IMM_021_stool_baseline,Anaerobutyricum,Derosa_NSCLC,0.1559
NSCLC_IMM_021_stool_baseline,Anaeromassilibacillus,Derosa_NSCLC,0.01055
NSCLC_IMM_021_stool_baseline,Anaerosacchariphilus,Derosa_NSCLC,0.00647
NSCLC_IMM_021_stool_baseline,Anaerostipes,Derosa_NSCLC,0.08271
NSCLC_IMM_021_stool_baseline,Anaerotignum,Derosa_NSCLC,0.49889
NSCLC_IMM_021_stool_baseline,Anaerotruncus,Derosa_NSCLC,0.0084
NSCLC_IMM_021_stool_baseline,Bacteroidaceae,Derosa_NSCLC,7.11558
NSCLC_IMM_021_stool_baseline,Bacteroides,Derosa_NSCLC,13.31056
NSCLC_IMM_021_stool_baseline,Barnesiella,Derosa_NSCLC,1.27678
NSCLC_IMM_021_stool_baseline,Bifidobacterium,Derosa_NSCLC,3.84285
NSCLC_IMM_021_stool_baseline,Bilophila,Derosa_NSCLC,0.49746
NSCLC_IMM_021_stool_baseline,Blautia,Derosa_NSCLC,0.39002
NSCLC_IMM_021_stool_baseline,Butyricimonas,Derosa_NSCLC,0.11933
NSCLC_IMM_021_stool_baseline,Candidatus,Derosa_NSCLC,0.22516
NSCLC_IMM_021_stool_baseline,Christensenella,Derosa_NSCLC,0.0009
NSCLC_IMM_021_stool_baseline,Christensenellaceae,Derosa_NSCLC,0.06749
NSCLC_IMM_021_stool_baseline,Clostridia,Derosa_NSCLC,1.01223
NSCLC_IMM_021_stool_baseline,Clostridiaceae,Derosa_NSCLC,0.2064
NSCLC_IMM_021_stool_baseline,Clostridiales,Derosa_NSCLC,0.13817
NSCLC_IMM_021_stool_baseline,Clostridium,Derosa_NSCLC,2.52307
NSCLC_IMM_021_stool_baseline,Coprococcus,Derosa_NSCLC,1.27032
NSCLC_IMM_021_stool_baseline,Dialister,Derosa_NSCLC,2.0674
NSCLC_IMM_021_stool_baseline,Dorea,Derosa_NSCLC,0.49558
NSCLC_IMM_021_stool_baseline,Dysosmobacter,Derosa_NSCLC,0.56712
NSCLC_IMM_021_stool_baseline,Eggerthellaceae,Derosa_NSCLC,0.0637
NSCLC_IMM_021_stool_baseline,Eisenbergiella,Derosa_NSCLC,0.00047
NSCLC_IMM_021_stool_baseline,Enorma,Derosa_NSCLC,0.13596
NSCLC_IMM_021_stool_baseline,Enterocloster,Derosa_NSCLC,0.00217
NSCLC_IMM_021_stool_baseline,Erysipelotrichaceae,Derosa_NSCLC,0.01526
NSCLC_IMM_021_stool_baseline,Escherichia,Derosa_NSCLC,0.00679
NSCLC_IMM_021_stool_baseline,Eubacteriaceae,Derosa_NSCLC,0.08041
NSCLC_IMM_021_stool_baseline,Eubacterium,Derosa_NSCLC,14.19441
NSCLC_IMM_021_stool_baseline,Evtepia,Derosa_NSCLC,0.04639
NSCLC_IMM_021_stool_baseline,Faecalibacillus,Derosa_NSCLC,0.36498
NSCLC_IMM_021_stool_baseline,Faecalibacterium,Derosa_NSCLC,9.13514
NSCLC_IMM_021_stool_baseline,Faecalicatena,Derosa_NSCLC,0.3479
NSCLC_IMM_021_stool_baseline,Firmicutes,Derosa_NSCLC,0.56824
NSCLC_IMM_021_stool_baseline,Flavonifractor,Derosa_NSCLC,0.1929
NSCLC_IMM_021_stool_baseline,Fusicatenibacter,Derosa_NSCLC,0.38154
NSCLC_IMM_021_stool_baseline,Gordonibacter,Derosa_NSCLC,0.0021
NSCLC_IMM_021_stool_baseline,Haemophilus,Derosa_NSCLC,0.02246
NSCLC_IMM_021_stool_baseline,Holdemania,Derosa_NSCLC,0.03034
NSCLC_IMM_021_stool_baseline,Intestinimonas,Derosa_NSCLC,0.32696
NSCLC_IMM_021_stool_baseline,Lachnospira,Derosa_NSCLC,1.16339
NSCLC_IMM_021_stool_baseline,Lachnospiraceae,Derosa_NSCLC,1.01551
NSCLC_IMM_021_stool_baseline,Lacrimispora,Derosa_NSCLC,0.6512
NSCLC_IMM_021_stool_baseline,Lactobacillus,Derosa_NSCLC,0.01207
NSCLC_IMM_021_stool_baseline,Lactococcus,Derosa_NSCLC,0.05156
NSCLC_IMM_021_stool_baseline,Lawsonibacter,Derosa_NSCLC,0.04292
NSCLC_IMM_021_stool_baseline,Massilioclostridium,Derosa_NSCLC,0.00376
NSCLC_IMM_021_stool_baseline,Mediterraneibacter,Derosa_NSCLC,0.08889
NSCLC_IMM_021_stool_baseline,Monoglobus,Derosa_NSCLC,0.0117
NSCLC_IMM_021_stool_baseline,Negativibacillus,Derosa_NSCLC,0.01095
NSCLC_IMM_021_stool_baseline,OS,Derosa_NSCLC,53.517423
NSCLC_IMM_021_stool_baseline,Odoribacter,Derosa_NSCLC,0.40701
NSCLC_IMM_021_stool_baseline,Oscillibacter,Derosa_NSCLC,0.04352
NSCLC_IMM_021_stool_baseline,Parabacteroides,Derosa_NSCLC,2.09841
NSCLC_IMM_021_stool_baseline,Parasutterella,Derosa_NSCLC,0.87158
NSCLC_IMM_021_stool_baseline,Phocaeicola,Derosa_NSCLC,11.63057
NSCLC_IMM_021_stool_baseline,Pseudoflavonifractor,Derosa_NSCLC,0.01501
NSCLC_IMM_021_stool_baseline,Roseburia,Derosa_NSCLC,6.21929
NSCLC_IMM_021_stool_baseline,Ruminococcaceae,Derosa_NSCLC,1.74387
NSCLC_IMM_021_stool_baseline,Ruminococcus,Derosa_NSCLC,2.28753
NSCLC_IMM_021_stool_baseline,Ruthenibacterium,Derosa_NSCLC,0.07783
NSCLC_IMM_021_stool_baseline,Solobacterium,Derosa_NSCLC,0.00294
NSCLC_IMM_021_stool_baseline,Streptococcus,Derosa_NSCLC,0.09329
NSCLC_IMM_021_stool_baseline,Subdoligranulum,Derosa_NSCLC,0.00883
NSCLC_IMM_021_stool_baseline,Turicibacter,Derosa_NSCLC,0.00157
NSCLC_IMM_021_stool_baseline,Turicimonas,Derosa_NSCLC,0.01235
NSCLC_IMM_021_stool_baseline,Veillonella,Derosa_NSCLC,0.0594
NSCLC_IMM_023_stool_baseline,Acidaminococcaceae,Derosa_NSCLC,1.23546
NSCLC_IMM_023_stool_baseline,Acidaminococcus,Derosa_NSCLC,0.36592
NSCLC_IMM_023_stool_baseline,Actinomyces,Derosa_NSCLC,0.00018
NSCLC_IMM_023_stool_baseline,Adlercreutzia,Derosa_NSCLC,0.06007
NSCLC_IMM_023_stool_baseline,Agathobaculum,Derosa_NSCLC,0.70998
NSCLC_IMM_023_stool_baseline,Akkermansia,Derosa_NSCLC,2.82248
NSCLC_IMM_023_stool_baseline,Alistipes,Derosa_NSCLC,2.72645
NSCLC_IMM_023_stool_baseline,Anaerobutyricum,Derosa_NSCLC,0.10504
NSCLC_IMM_023_stool_baseline,Anaeromassilibacillus,Derosa_NSCLC,0.02425
NSCLC_IMM_023_stool_baseline,Anaerostipes,Derosa_NSCLC,0.14741
NSCLC_IMM_023_stool_baseline,Anaerotruncus,Derosa_NSCLC,0.00592
NSCLC_IMM_023_stool_baseline,Bacteroides,Derosa_NSCLC,2.93895
NSCLC_IMM_023_stool_baseline,Bifidobacterium,Derosa_NSCLC,2.39389
NSCLC_IMM_023_stool_baseline,Bilophila,Derosa_NSCLC,0.13964
NSCLC_IMM_023_stool_baseline,Blautia,Derosa_NSCLC,1.38699
NSCLC_IMM_023_stool_baseline,Butyricimonas,Derosa_NSCLC,0.09781
NSCLC_IMM_023_stool_baseline,Candidatus,Derosa_NSCLC,4.5514
NSCLC_IMM_023_stool_baseline,Catenibacillus,Derosa_NSCLC,0.00408
NSCLC_IMM_023_stool_baseline,Christensenellaceae,Derosa_NSCLC,0.01001
NSCLC_IMM_023_stool_baseline,Clostridia,Derosa_NSCLC,1.0383
NSCLC_IMM_023_stool_baseline,Clostridiaceae,Derosa_NSCLC,0.37611
NSCLC_IMM_023_stool_baseline,Clostridiales,Derosa_NSCLC,0.54482
NSCLC_IMM_023_stool_baseline,Clostridium,Derosa_NSCLC,4.97725
NSCLC_IMM_023_stool_baseline,Collinsella,Derosa_NSCLC,0.05114
NSCLC_IMM_023_stool_baseline,Coprobacter,Derosa_NSCLC,0.15741
NSCLC_IMM_023_stool_baseline,Coprococcus,Derosa_NSCLC,3.52363
NSCLC_IMM_023_stool_baseline,Coriobacteriia,Derosa_NSCLC,0.08713
NSCLC_IMM_023_stool_baseline,Desulfovibrionaceae,Derosa_NSCLC,0.73439
NSCLC_IMM_023_stool_baseline,Dorea,Derosa_NSCLC,0.05808
NSCLC_IMM_023_stool_baseline,Dysosmobacter,Derosa_NSCLC,0.47695
NSCLC_IMM_023_stool_baseline,Eisenbergiella,Derosa_NSCLC,0.00046
NSCLC_IMM_023_stool_baseline,Enterocloster,Derosa_NSCLC,0.02718
NSCLC_IMM_023_stool_baseline,Erysipelotrichaceae,Derosa_NSCLC,0.0163
NSCLC_IMM_023_stool_baseline,Escherichia,Derosa_NSCLC,0.01752
NSCLC_IMM_023_stool_baseline,Eubacterium,Derosa_NSCLC,1.78002
NSCLC_IMM_023_stool_baseline,Evtepia,Derosa_NSCLC,0.09801
NSCLC_IMM_023_stool_baseline,Faecalibacillus,Derosa_NSCLC,0.15687
NSCLC_IMM_023_stool_baseline,Faecalibacterium,Derosa_NSCLC,7.23068
NSCLC_IMM_023_stool_baseline,Faecalicatena,Derosa_NSCLC,0.00086
NSCLC_IMM_023_stool_baseline,Faecalitalea,Derosa_NSCLC,0.0554
NSCLC_IMM_023_stool_baseline,Firmicutes,Derosa_NSCLC,1.93633
NSCLC_IMM_023_stool_baseline,Flavonifractor,Derosa_NSCLC,0.15665
NSCLC_IMM_023_stool_baseline,Fusicatenibacter,Derosa_NSCLC,0.96041
NSCLC_IMM_023_stool_baseline,Haemophilus,Derosa_NSCLC,0.08106
NSCLC_IMM_023_stool_baseline,Holdemania,Derosa_NSCLC,0.02159
NSCLC_IMM_023_stool_baseline,Hungatella,Derosa_NSCLC,0.00606
NSCLC_IMM_023_stool_baseline,Intestinibacillus,Derosa_NSCLC,0.00038
NSCLC_IMM_023_stool_baseline,Intestinibacter,Derosa_NSCLC,0.00191
NSCLC_IMM_023_stool_baseline,Intestinimonas,Derosa_NSCLC,0.01058
NSCLC_IMM_023_stool_baseline,Lachnoclostridium,Derosa_NSCLC,0.06544
NSCLC_IMM_023_stool_baseline,Lachnospira,Derosa_NSCLC,1.60059
NSCLC_IMM_023_stool_baseline,Lachnospiraceae,Derosa_NSCLC,1.16984
NSCLC_IMM_023_stool_baseline,Lacrimispora,Derosa_NSCLC,0.29955
NSCLC_IMM_023_stool_baseline,Lawsonibacter,Derosa_NSCLC,0.01665
NSCLC_IMM_023_stool_baseline,Lentisphaeria,Derosa_NSCLC,0.094
NSCLC_IMM_023_stool_baseline,Massilistercora,Derosa_NSCLC,0.03718
NSCLC_IMM_023_stool_baseline,Merdimonas,Derosa_NSCLC,0.12215
NSCLC_IMM_023_stool_baseline,Monoglobus,Derosa_NSCLC,0.08129
NSCLC_IMM_023_stool_baseline,OS,Derosa_NSCLC,14.17
NSCLC_IMM_023_stool_baseline,Odoribacter,Derosa_NSCLC,0.23846
NSCLC_IMM_023_stool_baseline,Oscillibacter,Derosa_NSCLC,0.83293
NSCLC_IMM_023_stool_baseline,Oscillospiraceae,Derosa_NSCLC,0.00096
NSCLC_IMM_023_stool_baseline,Oxalobacter,Derosa_NSCLC,0.08001
NSCLC_IMM_023_stool_baseline,Parabacteroides,Derosa_NSCLC,1.09501
NSCLC_IMM_023_stool_baseline,Phocaeicola,Derosa_NSCLC,7.61209
NSCLC_IMM_023_stool_baseline,Pseudoflavonifractor,Derosa_NSCLC,0.04809
NSCLC_IMM_023_stool_baseline,Roseburia,Derosa_NSCLC,6.98585
NSCLC_IMM_023_stool_baseline,Ruminococcaceae,Derosa_NSCLC,2.94792
NSCLC_IMM_023_stool_baseline,Ruminococcus,Derosa_NSCLC,6.21122
NSCLC_IMM_023_stool_baseline,Ruthenibacterium,Derosa_NSCLC,0.01111
NSCLC_IMM_023_stool_baseline,Sellimonas,Derosa_NSCLC,0.00335
NSCLC_IMM_023_stool_baseline,Streptococcus,Derosa_NSCLC,0.13754
NSCLC_IMM_023_stool_baseline,Succinatimonas,Derosa_NSCLC,0.0468
NSCLC_IMM_023_stool_baseline,Sutterella,Derosa_NSCLC,0.6061
NSCLC_IMM_023_stool_baseline,Traorella,Derosa_NSCLC,0.01817
NSCLC_IMM_023_stool_baseline,Turicibacter,Derosa_NSCLC,0.00125
