"asvid","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","confidence"
"3455a0474fb35a2cd721580ba4334780","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","",0.99
"95534d3a6f77ac44f0f642cea986c359","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group","",0.93
"5ff2dbde598cc3f31a3e11057b153e7c","Bacteria","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","","","",0.87
"76cd62f764f4a3b6f32cccc2b635e9d1","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","","",1
"114ec91e96274b35e6b72a1f95b34d09","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","",0.96
"857b1115d62bc0ed227b73d9d90264fd","Bacteria","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae UCG-002","",1
"c81d2bd60b0b2a355bc6e63534ecc66c","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","",0.77
"443d083f393edec07bc0bb0737a09e37","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",1
"41edd8403db5e5375d683e3456c99add","Bacteria","Bacteria","Firmicutes","","","","","",0.97
"ca8128c059c3752287c4420e69e3cef1","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",0.59
"61f7744c3dfcc6e1cb86faf50704b75f","Bacteria","Bacteria","","","","","","",1
"00d0a96aa81c26612a294099a678e547","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","",0.52
"1b24726912feff230b2d30c18b4d5a6a","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.71
"94e5d45d90baef6a6e1ec51bff040e26","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","","",1
"129f816890beadca02b7cc0a382a883f","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","","",0.96
"76c79f2abc57cc084ad58546922178ea","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","",1
"d09fb0484b2828e9b3fe18a1aaa8dbe8","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.86
"3fe6f891b8f803f1d4518018189ea11e","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",1
"5673ae66819e3bdbbc09461e4959159e","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","","","",1
"c70bdf79f9afb03f7d93ae53d017e599","Bacteria","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","",1
"05305cc53e851e1160900b2c60393551","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",0.52
"1d8c8365013650b220519ecb0924c49f","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","",0.56
"70e718d475f77668f5a246ba0cdefd6b","Bacteria","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Anaeroglobus","",0.79
"bb2458699288733179c7ddba31745384","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.64
"59dcb668b03a34ca28dbc80b812916da","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","",0.76
"dd2b4f17a077d7adcf185efadf103c22","Bacteria","Bacteria","","","","","","",1
"c8ca59317668157ec97583498a33c7fc","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575","",0.53
"29be83ca6d3b81416c0a7fb2788164f8","Bacteria","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","",1
"d15dca1cb88d8e6ed838a0b6b96900ae","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-004","",1
"47f770032218f91b352999ff1f663807","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","",0.67
"46994e329da4f3393a8495036589323a","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","",1
"b5bf9b4ab6cdb47375210825e00a653c","Bacteria","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","","","",0.98
"e45e51d7a3be03cdd507afeb51f51315","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","",0.62
"fcedbbee799c3c135b9e194b839bcebd","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","","",0.94
"eb60405f93fdafc2f4c1464bc40e591d","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","",0.84
"1cd820f5a5c055e74bcbf6df4f28231d","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",1
"1196da23096cdbaa8c80f3c355c984e5","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","",0.97
"4be155246b536f539d75683c92b46069","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","",1
"426516cdb652a4d4845e02260207a321","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","",1
"347406a6efba6f9e9c0835ccafa72a8d","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","","",0.68
"c49bdca4dd94ae05d81303e28be5c5c9","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",0.89
"83849023c274bb314e1bde76b9d69a14","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.91
"6975ada7ef25eeac7290ded1cbf74172","Bacteria","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus Omnitrophus","",1
"65b1e4b62d32f57b8d325206937f0b6e","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","",0.6
"a6327e2c8a6fd74b629cbbdb0779ffd4","Bacteria","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","","",0.52
"d0ab1c7b882feebfceecd81a58576e72","Bacteria","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","","","",0.92
"bd366d5965b6b1176d475afd484b5ef4","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hydrogenoanaerobacterium","","",1
"df0e3d38eec730326754d8c17a8b8efe","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","",1
"fcbe1b77a9bac47f3a5c5ea0442a3f4f","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","",0.84
"c445246b69fd71bc2b919d023f44b3e5","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","",1
"db12a81b44b7f34ad8c87b5ca72f2f61","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","",0.98
"58d2584ff87cf333093ed7201026847d","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.95
"17d7729b4e436924052577a5de7b5c37","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Stomatobaculum","",0.78
"2a9533ce2d71ccc26fe67b90521eb73b","Bacteria","Bacteria","WPS-2","","","","","",1
"d954cb9ea604bcab201a628ae37e12f9","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",1
"72d769d540f954615306b5c799e606f4","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","","","",1
"6fa215bbe9360ec0dd827b9d3b8268a8","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"6bcd1b1ed7c513530036b3ce108cee0f","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","","",0.56
"41486f382409aa20e5a97bf40a544825","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquincola","",0.53
"90208c311caa7824980d11b1dec1d27a","Bacteria","Bacteria","Patescibacteria","Parcubacteria","Candidatus Jorgensenbacteria","","","",0.51
"716288d9f0692f865b10f426440385db","Bacteria","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","",1
"6449d9d6226afd0b11211354a47769b0","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.77
"0fe677f471949d12e7c6d9276409fc06","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","",0.65
"b5bb2f690aa387ba2dc1774946dacd43","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","","",1
"c68780506b44ebe78ea06ee0fd301660","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","","",0.98
"d433d7f460913b631253f0fc40cbab3d","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","","","",0.52
"d7fab13c7275c6aa13d42177c716faab","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","",1
"b1223a374056c59531e36b82f9200e51","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","",1
"57bce401555fcf54acf08eb819d62e16","Bacteria","Bacteria","Actinobacteriota","Actinobacteria","","","","",0.85
"eeab8eb906655da034245be17ef789c9","Bacteria","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","",1
"e841a7e6d4839148ea121e4bd4102720","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","","",0.91
"c93cd3da5848fcaaaacf34a58cb41203","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii",1
"492650908f7d5bdad4c6609b3deb9a2a","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis","",0.94
"893a377f70bd5146138e9e7f71b1d26f","Bacteria","Bacteria","","","","","","",0.99
"1c7fc5b707987b07827b4eb0d5df2813","Bacteria","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","","","",0.99
"3cdb8815601030b1d8da89ced8a3ba84","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",0.57
"4caff9119e0b923c168527aa0189347e","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","",0.77
"1517ea5baaed8dfea194211b2094ba87","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","pauculus",1
"16ee1220e512c74755c25dbd6122afd1","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","",0.76
"79ea1ac0a17c58f543693124cc248ef3","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","",0.99
"860d345a8b6afb765a0e588654f08c1d","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","",1
"288d31c96023ef6dddefbd7b5603d91c","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",1
"5d3ce929e1e20c0af46d70bc9b483a9e","Bacteria","Bacteria","Chloroflexi","KD4-96","","","","",1
"d8b96c975ba207ce7784314bd60bebd3","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales Incertae Sedis","Phocaeicola","",1
"286d09e7def751dfbf1c9a3dbf5fa9cb","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","",0.96
"ff6e7f8bb549dd47275e303dbebb1413","Bacteria","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobium","",0.99
"8e6369503a279f8295c60450127f5aee","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","",0.55
"8bfef9ef3c0b43de1a805009161f6633","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","",0.87
"9f0921648ffa8b9181442f6841a6ef82","Bacteria","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","","",0.99
"47b098c7edc1e61aef6d211df51b8d96","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group","",0.62
"b5d28626b1eb4211474c81a703dd5b8e","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales Incertae Sedis","Phocaeicola","",0.87
"b37a2db5f1494cb684a9ae5f9b189df3","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","",0.6
"685a8e136156804681de2ac4cb45b675","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter","",0.51
"b2bb30b74779c4f4e86aed4a22ae2fe2","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","",1
"36c3c2fde3afdc970b50735a98195d4e","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","",1
"6d23b1a911e94074b127424a8fb2d5ad","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","",0.85
"75f6572b5134aff630cc5c6a4d989ac1","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","",1
"132653ab5f7eb792a316204b5c2f1f73","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group","",0.97
"60c51cd5718a4669ba5ebe5bed1363e7","Bacteria","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","","","",0.98
"2e71050926a6be3e3d60a80ef8fc3b60","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","",0.97
"7065705a23d2132dedefa4464bb0c4e6","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","",0.77
"bf0d2962c0bb83c8781a1af3d2412dc5","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","",0.99
"dfff049b157cc402c26bf3d7beaf118c","Bacteria","Bacteria","Patescibacteria","Berkelbacteria","","","","",0.88
"798967a6899e333db418d7a277958394","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","",0.59
"25d1168b33a4e32f829f1ea692e01491","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"81a9f1ed6fff5cf4bcc68703c016a170","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.67
"b89b179996b325a1ea8c1c0540919327","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","",0.59
"bbd272550e86a8aea8d4e6ab618f7fbd","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","","",1
"3896a67f5f1b5b99182c5a51ae09750f","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","",0.74
"8dcfdd3643e8a1b873a013d7c15804dd","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","",0.95
"9f70bba862946c6b81572bb39650f453","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.56
"082044fdcdd4eeb2537995019fdb5f5a","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Haemophilus","influenzae",1
"3d4c75d64583c33b2d24718641166cad","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","",0.5
"30cd10914aae368ddc83e94b79539cee","Bacteria","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","",1
"1875e8b0ece8991a57bfc1b78a0d8140","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","",0.74
"b02f3acdabc94735cd5a2134d3e16794","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","",0.67
"7be9f7f45f95a7587c30af2c83201670","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","",0.92
"c4cef254b64c069a8de67ad282566b8a","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","",0.56
"342fe7224bd9376fab607f151a190fa5","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","",0.57
"69aeb2c80af07508e50d4f7717f5d799","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2","",0.66
"2ff28aaf8a5de75b825e5e197958c899","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","","",0.84
"4d425bf0a54f0db3abf6a3f0de5502c8","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","",0.52
"04b82a9ae94aa572937af9a85644c0b5","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","",1
"15f145ac7cf1f9ade018a2767c37dc12","Bacteria","Bacteria","Bacteroidota","Bacteroidia","","","","",0.63
"223c37a1f0ce7e3e239d0510ae3eb7c1","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"ce6754745061299ec8d5bf84d1878727","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",0.99
"93e24acefb5c96ba900baa63c76d4289","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","",0.77
"d414b640242442909e102fb220cb326d","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","",0.81
"1f0c2e8542e4eb3014e63548ee47756a","Bacteria","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Salinicoccus","",0.58
"8a76677b3b4b985ee7d1e62d0e20e35b","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","",0.54
"c0a7ae3c08c40483e7776a50a01e6d25","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","","",0.97
"daf471369c8df7afa7849741660d855b","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2","",0.76
"f8b3140d47696b3efd1697dea9d72032","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella","",0.98
"cf0803a412dcc638b59a9302efd96cf7","Bacteria","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","",0.57
"e646037b0d1ed8bbd16c6ce2f4372732","Bacteria","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","falconis",1
"ae29267a42a7f7a6bc8b73ec5e672ee1","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","sicca",0.91
"fbd67349783ebeacc69814257b694d56","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus",1
"e45d4b04429f96c5094410ad59720415","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","",1
"409c241ef3d97cfc4fa8c39821cf5012","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"ae2256809637488acc3f9d74bc2dcdac","Bacteria","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","","","",0.65
"377bf1b86dd15d576b1b9edd617843ce","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","conceptionensis",0.93
"649531c3494770948a9637222b4b3ae5","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",1
"ab885ed22dacccff09f0db1223f4a72f","Bacteria","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","",0.82
"18a4238f5b8938fbbb780d7091d7e914","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",0.97
